file_path|speaker_id|country|gender|split|text
data/partition_dataset_by_speaker/clm_07049/test/clm_07049_00350483764.wav|clm_07049|Chile|male|test|Me dan ganas de conocer un poco más de los pintores impresionistas.
data/partition_dataset_by_speaker/clm_07049/test/clm_07049_00873101167.wav|clm_07049|Chile|male|test|Creo que tiene rotolfemur.
data/partition_dataset_by_speaker/clm_07049/test/clm_07049_00963870669.wav|clm_07049|Chile|male|test|Estoy seguro que ha escuchado la canción, porque la compraste hace tres años y medio a través de iTunes.
data/partition_dataset_by_speaker/clm_07049/test/clm_07049_00152213944.wav|clm_07049|Chile|male|test|¿Quién es el autor del libro?
data/partition_dataset_by_speaker/clm_07049/test/clm_07049_00460578447.wav|clm_07049|Chile|male|test|Los sandwiches están frios.
data/partition_dataset_by_speaker/clm_07049/test/clm_07049_02128983733.wav|clm_07049|Chile|male|test|Se han hecho versiones en todos los idiomas de esa canción.
data/partition_dataset_by_speaker/clm_07049/test/clm_07049_00079996925.wav|clm_07049|Chile|male|test|Me gustaría organizar una charla sobre mecánica industrial.
data/partition_dataset_by_speaker/clm_07049/test/clm_07049_01903676730.wav|clm_07049|Chile|male|test|Al circular menos automóviles en la ciudad se logró una mejor calidad de aire.
data/partition_dataset_by_speaker/clm_07049/test/clm_07049_00863323634.wav|clm_07049|Chile|male|test|¿Quién el tiempo contado?
data/partition_dataset_by_speaker/clm_07049/test/clm_07049_00328038210.wav|clm_07049|Chile|male|test|Asofia y apáelo le gusta el carao que y el sushi.
data/partition_dataset_by_speaker/clm_07049/test/clm_07049_00382574887.wav|clm_07049|Chile|male|test|Usa la fuente de información más confiable.
data/partition_dataset_by_speaker/clm_07049/test/clm_07049_00399002993.wav|clm_07049|Chile|male|test|Me puedes pedir 2 pisas 4 quesos y no se lo dice sanaria.
data/partition_dataset_by_speaker/clm_07049/test/clm_07049_01620014585.wav|clm_07049|Chile|male|test|Ayer vi una película francesa sobre la primera guerra mundial y me llamamos mucho la atención uno de los soldados.
data/partition_dataset_by_speaker/clm_07049/test/clm_07049_00155788840.wav|clm_07049|Chile|male|test|Está muy cansado.
data/partition_dataset_by_speaker/clm_07049/test/clm_07049_01048968358.wav|clm_07049|Chile|male|test|te voy a mandar por WhatsApp las especificaciones de los invitados.
data/partition_dataset_by_speaker/clm_07049/test/clm_07049_00890444160.wav|clm_07049|Chile|male|test|deseas enviérdatos a tus amigos de que está bien
data/partition_dataset_by_speaker/clm_07049/val/clm_07049_01172526188.wav|clm_07049|Chile|male|val|¿Dienes agua?
data/partition_dataset_by_speaker/clm_07049/val/clm_07049_01505242874.wav|clm_07049|Chile|male|val|La pronunciación del francés es difícil.
data/partition_dataset_by_speaker/clm_07049/val/clm_07049_00310656353.wav|clm_07049|Chile|male|val|Lensiclopeia Veritanica dice que el ser humano tiene el libre albederio.
data/partition_dataset_by_speaker/clm_07049/val/clm_07049_01324012205.wav|clm_07049|Chile|male|val|No sea un larta mil.
data/partition_dataset_by_speaker/clm_07049/val/clm_07049_02121858784.wav|clm_07049|Chile|male|val|deseas en verdad a tus familia de que está bien
data/partition_dataset_by_speaker/clm_07049/val/clm_07049_00862921374.wav|clm_07049|Chile|male|val|Nos vemos más tarde, gracias.
data/partition_dataset_by_speaker/clm_07049/val/clm_07049_01808892562.wav|clm_07049|Chile|male|val|La calle está llena de hoyos.
data/partition_dataset_by_speaker/clm_07049/val/clm_07049_01561836004.wav|clm_07049|Chile|male|val|Su negocio es uno de los más reconocidos en este país.
data/partition_dataset_by_speaker/clm_07049/val/clm_07049_00022806788.wav|clm_07049|Chile|male|val|Este libro nos muestra una teoría sobre la importancia del arte en el ámbito científico.
data/partition_dataset_by_speaker/clm_07049/val/clm_07049_00869972348.wav|clm_07049|Chile|male|val|Podrías comprar por favor el disco y mandarse la misma mal?
data/partition_dataset_by_speaker/clm_07049/val/clm_07049_01648114493.wav|clm_07049|Chile|male|val|Hay muchas opciones.
data/partition_dataset_by_speaker/clm_07049/val/clm_07049_01607041015.wav|clm_07049|Chile|male|val|En queso nada de la ciudad de Gustaria y a vivir.
data/partition_dataset_by_speaker/clm_07049/val/clm_07049_02096104960.wav|clm_07049|Chile|male|val|El llano en llamas es un clásico de Juan Rulfó.
data/partition_dataset_by_speaker/clm_07049/val/clm_07049_00782801225.wav|clm_07049|Chile|male|val|Desde hace mucho tiempo tenía ganas de usar esta aplicación en donde le enseñan a uno a ser comida.
data/partition_dataset_by_speaker/clm_07049/train/clm_07049_01677340121.wav|clm_07049|Chile|male|train|Me gustaría organizar una charla sobre fotografía con drones.
